id,number_of_messages,mean_time
0A0,2,0.285714
202,27,0.285714
224,26,0.285714
181,31,0.285714
182,30,0.285714
025,33,0.285714
227,7,0.25
207,7,0.25
305,7,0.25
325,7,0.25
345,4,0.285714
128,4,0.285714
308,4,0.285714
328,4,0.285714
368,4,0.285714
388,4,0.285714
3A8,4,0.285714
008,29,0.285714
004,26,0.285714
201,25,0.285714
430,2,0.178571
109,4,0.214286
046,3,0.178571
204,3,0.178571
247,1,0
007,1,0
307,1,0
441,1,0
