id,number_of_messages,mean_time
0A0,2,0.258065
227,7,0.225806
207,7,0.225806
305,7,0.225806
325,7,0.225806
181,23,0.225806
182,23,0.225806
345,3,0.16129
128,3,0.193548
308,3,0.193548
328,3,0.193548
004,29,0.258065
201,29,0.258065
202,29,0.258065
224,28,0.258065
368,3,0.193548
388,3,0.193548
3A8,3,0.193548
008,30,0.258065
025,36,0.258065
109,3,0.193548
204,3,0.16129
046,3,0.16129
32A,2,0.16129
30A,2,0.16129
108,1,0
430,2,0.0967742
309,4,0
121,1,0
421,1,0
005,1,0
